City,Type,Index
"Houston-The Woodlands-Sugar Land, TX",metro,100.9
"Huntington-Ashland, WV-KY-OH",metro,86.4
"Huntsville, AL",metro,89.9
"Idaho Falls, ID",metro,89.4
"Indianapolis-Carmel-Anderson, IN",metro,93.1
"Iowa City, IA",metro,96.2
"Ithaca, NY",metro,105.2
"Jackson, MI",metro,89.9
"Jackson, MS",metro,90.2
"Jackson, TN",metro,82.1
"Jacksonville, FL",metro,95.8
"Jacksonville, NC",metro,93.2
"Janesville-Beloit, WI",metro,91.9
"Jefferson City, MO",metro,82.4
"Johnson City, TN",metro,88
"Johnstown, PA",metro,85.7
"Jonesboro, AR",metro,81.9
"Joplin, MO",metro,88.1
"Kahului-Wailuku-Lahaina, HI",metro,107.1
"Kalamazoo-Portage, MI",metro,91.9
"Kankakee, IL",metro,97.5
"Kansas City, MO-KS",metro,93.7
"Kennewick-Richland, WA",metro,97.8
"Killeen-Temple, TX",metro,92.1
"Kingsport-Bristol-Bristol, TN-VA",metro,85.2
"Kingston, NY",metro,103.6
"Knoxville, TN",metro,89.3
"Kokomo, IN",metro,86.4
"La Crosse-Onalaska, WI-MN",metro,92.9
"Lafayette, LA",metro,89.2
"Lafayette-West Lafayette, IN",metro,93.5
"Lake Charles, LA",metro,89
"Lake Havasu City-Kingman, AZ",metro,93
"Lakeland-Winter Haven, FL",metro,92.9
"Lancaster, PA",metro,98.7
"Lansing-East Lansing, MI",metro,93.3
"Laredo, TX",metro,88.8
"Las Cruces, NM",metro,92.3
"Las Vegas-Henderson-Paradise, NV",metro,98.7
"Lawrence, KS",metro,93.2
"Lawton, OK",metro,90.6
"Lebanon, PA",metro,94.9
"Lewiston, ID-WA",metro,90.4
"Lewiston-Auburn, ME",metro,94.2
"Lexington-Fayette, KY",metro,91.9
"Lima, OH",metro,88.7
"Lincoln, NE",metro,92.8
"Little Rock-North Little Rock-Conway, AR",metro,90.9
"Logan, UT-ID",metro,90.3
"Longview, TX",metro,91.7
"Longview, WA",metro,94.1
"Los Angeles-Long Beach-Anaheim, CA",metro,117.6
"Louisville/Jefferson County, KY-IN",metro,91.2
"Lubbock, TX",metro,93.4
"Lynchburg, VA",metro,90.9
"Macon-Bibb County, GA",metro,86.8
"Madera, CA",metro,96.2
"Madison, WI",metro,97.8
"Manchester-Nashua, NH",metro,107.9
"Manhattan, KS",metro,93.1
"Mankato-North Mankato, MN",metro,89.2
"Mansfield, OH",metro,85.9
"McAllen-Edinburg-Mission, TX",metro,85.1
"Medford, OR",metro,98.5
"Memphis, TN-MS-AR",metro,91.5
"Merced, CA",metro,95
