City,Type,Index
"Elizabethtown, KY",metro,86.1
"Fort Knox, KY",metro,86.1
"Elkhart, IN",metro,90.9
"Goshen, IN",metro,90.9
"Elmira, NY",metro,94.6
"El Paso, TX",metro,89.3
"Enid, OK M",metro,90
"Erie, PA",metro,92.4
"Eugene, OR",metro,98.5
"Evansville, IN",metro,90
"Evansville, KY",metro,90
"Fairbanks, AK",metro,106.4
"Fargo, ND",metro,92.9
"Fargo, MN",metro,92.9
"Farmington, NM",metro,90.2
"Fayetteville, NC",metro,90.7
"Fayetteville, AR",metro,89.8
"Fayetteville, MO",metro,89.8
"Springdale, AR",metro,89.8
"Springdale, MO",metro,89.8
"Rogers, AR",metro,89.8
"Rogers, MO",metro,89.8
"Flagstaff, AZ",metro,98.6
"Flint, MI",metro,91.5
"Florence, SC",metro,85.8
"Florence, AL",metro,83.8
"Muscle Shoals, AL",metro,83.8
"Fond du Lac, WI",metro,87.3
"Fort Collins, CO",metro,102.2
"Fort Smith, AR",metro,85.4
"Fort Smith, OK",metro,85.4
"Fort Wayne, IN",metro,90.1
"Fresno, CA",metro,97.2
"Gadsden, AL",metro,84.5
"Gainesville, FL",metro,94.6
"Gainesville, GA",metro,89.2
"Gettysburg, PA",metro,95.8
"Glens Falls, NY",metro,96.3
"Goldsboro, NC",metro,87.8
"Grand Forks, ND",metro,94.1
"Grand Forks, MN",metro,94.1
"Grand Island, NE",metro,85.8
"Grand Junction, CO",metro,94.4
"Grand Rapids, MI",metro,93.7
"Wyoming, MI",metro,93.7
"Grants Pass, OR",metro,93.9
"Great Falls, MT",metro,93.9
"Greeley, CO",metro,99.7
"Green Bay, WI",metro,91.6
"Greensboro, NC",metro,90
"High Point, NC",metro,90
"Greenville, NC",metro,88.4
"Greenville, SC",metro,89.8
"Anderson, SC",metro,89.8
"Mauldin, SC",metro,89.8
"Gulfport, MS",metro,89.5
"Biloxi, MS",metro,89.5
"Pascagoula, MS",metro,89.5
"Hagerstown, MD",metro,100.6
"Hagerstown, WV",metro,100.6
"Martinsburg, MD",metro,100.6
"Martinsburg, WV",metro,100.6
"Hammond, LA",metro,86.1
"Hanford, CA",metro,92.7
"Corcoran, CA",metro,92.7
"Harrisburg, PA",metro,96
